 ,Area,Mean,Min,Max,X,Y
1,0,99,99,99,452.063,278.990
2,0,124,124,124,570.436,274.398
3,0,95,95,95,473.492,217.253
4,0,107,107,107,540.842,208.069
5,0,165,165,165,500.024,251.948
