 ,Area,Mean,Min,Max,X,Y
1,0,75,75,75,565.333,209.089
2,0,65,65,65,680.135,192.251
3,0,62,62,62,575.028,144.800
4,0,73,73,73,635.745,127.452
5,0,68,68,68,604.621,143.270
