 ,Area,Mean,Min,Max,X,Y
1,0,81,81,81,505.637,238.172
2,0,97,97,97,627.071,223.886
3,0,73,73,73,518.392,179.496
4,0,84,84,84,596.457,161.638
5,0,76,76,76,535.230,177.455
