 ,Area,Mean,Min,Max,X,Y
1,0,96,96,96,482.166,296.848
2,0,127,127,127,615.336,288.174
3,0,114,114,114,508.698,233.070
4,0,128,128,128,582.171,226.947
5,0,150,150,150,555.129,249.397
