 ,Area,Mean,Min,Max,X,Y
1,0,101,101,101,584.212,192.251
2,0,98,98,98,702.585,151.943
3,0,98,98,98,588.804,136.126
4,0,93,93,93,656.154,100.921
5,0,139,139,139,621.969,133.065
