 ,Area,Mean,Min,Max,X,Y
1,0,104,104,104,455.634,284.093
2,0,127,127,127,569.415,277.460
3,0,100,100,100,480.125,216.232
4,0,109,109,109,535.230,209.089
5,0,151,151,151,513.800,238.682
