 ,Area,Mean,Min,Max,X,Y
1,0,97,97,97,578.599,175.924
2,0,106,106,106,701.054,150.923
3,0,92,92,92,588.294,128.983
4,0,94,94,94,660.236,99.390
5,0,119,119,119,608.193,136.637
