 ,Area,Mean,Min,Max,X,Y
1,0,43,43,43,428.082,290.215
2,0,49,49,49,535.740,247.356
3,0,39,39,39,430.123,223.375
4,0,44,44,44,480.125,197.354
5,0,88,88,88,467.369,245.315
