 ,Area,Mean,Min,Max,X,Y
1,0,98,98,98,519.923,294.297
2,0,103,103,103,634.214,264.704
3,0,93,93,93,520.433,241.233
4,0,97,97,97,585.232,209.599
5,0,158,158,158,568.905,249.907
