 ,Area,Mean,Min,Max,X,Y
1,0,77,77,77,462.777,344.300
2,0,94,94,94,586.253,332.564
3,0,67,67,67,476.043,278.990
4,0,79,79,79,548.496,264.194
5,0,107,107,107,508.698,326.952
