"","Name","X","Y","FileName2","TurtleAvailable","Species","Direction","CatchSuccess"
"49","TopRight",94.72127348543,32.0605731280397,"2016_0517_101802_033A_Moment1","NoTurtle","RH","Upstream",NA
"50","Fish",37.954791435714,1.0170286039828,"2016_0517_101802_033A_Moment1","NoTurtle","RH","Upstream",NA
"51","BottomLeft",0,0,"2016_0517_101802_033A_Moment2","NoTurtle","RH","Downstream",NA
"52","BottomRight",70.2210553091856,0,"2016_0517_101802_033A_Moment2","NoTurtle","RH","Downstream",NA
"53","TopLeft",-10.8942472827534,35.5191571664856,"2016_0517_101802_033A_Moment2","NoTurtle","RH","Downstream",NA
"54","TopRight",93.4793531972836,35.5191571664856,"2016_0517_101802_033A_Moment2","NoTurtle","RH","Downstream",NA
"55","Fish",25.6462834950539,3.42754476641394,"2016_0517_101802_033A_Moment2","NoTurtle","RH","Downstream",NA
"56","BottomLeft",0,0,"2016_0517_101802_033A_Moment3","NoTurtle","RH","Upstream",NA
"57","BottomRight",57.4392438985221,0,"2016_0517_101802_033A_Moment3","NoTurtle","RH","Upstream",NA
"58","TopLeft",-25.0991560393087,53.6631104000697,"2016_0517_101802_033A_Moment3","NoTurtle","RH","Upstream",NA
"59","TopRight",84.3816957769274,53.6631104000697,"2016_0517_101802_033A_Moment3","NoTurtle","RH","Upstream",NA
"60","Fish",58.4085903152713,14.103614581622,"2016_0517_101802_033A_Moment3","NoTurtle","RH","Upstream",NA
"61","BottomLeft",0,0,"2016_0517_101802_033A_Moment4","NoTurtle","RH","Downstream",NA
"62","BottomRight",65.5624355509041,0,"2016_0517_101802_033A_Moment4","NoTurtle","RH","Downstream",NA
"63","TopLeft",-8.8033686835702,31.8352362666608,"2016_0517_101802_033A_Moment4","NoTurtle","RH","Downstream",NA
"64","TopRight",94.7972453811074,31.8352362666608,"2016_0517_101802_033A_Moment4","NoTurtle","RH","Downstream",NA
"65","Fish",24.0823070869305,5.77731013298117,"2016_0517_101802_033A_Moment4","NoTurtle","RH","Downstream",NA
"66","BottomLeft",0,0,"2016_0517_102802_034A_Moment1","NoTurtle","LMB","Downstream",NA
"67","BottomRight",51.753909397242,0,"2016_0517_102802_034A_Moment1","NoTurtle","LMB","Downstream",NA
"68","TopLeft",-21.3955188491006,50.8622058837457,"2016_0517_102802_034A_Moment1","NoTurtle","LMB","Downstream",NA
"69","TopRight",86.0989896145098,50.8622058837457,"2016_0517_102802_034A_Moment1","NoTurtle","LMB","Downstream",NA
"70","Fish",24.9769895350021,37.7877481282326,"2016_0517_102802_034A_Moment1","NoTurtle","LMB","Downstream",NA
"71","BottomLeft",0,0,"2016_0517_102802_034A_Moment2","NoTurtle","LMB","Upstream",NA
"72","BottomRight",67.7043698877306,0,"2016_0517_102802_034A_Moment2","NoTurtle","LMB","Upstream",NA
"73","TopLeft",-18.2795319448999,35.7776343743243,"2016_0517_102802_034A_Moment2","NoTurtle","LMB","Upstream",NA
"74","TopRight",93.3807307669905,35.7776343743243,"2016_0517_102802_034A_Moment2","NoTurtle","LMB","Upstream",NA
"75","Fish",26.3148908622698,17.5537163235455,"2016_0517_102802_034A_Moment2","NoTurtle","LMB","Upstream",NA
"76","BottomLeft",0,0,"2016_0517_103802_035A_Moment1","NoTurtle","RH","Downstream",NA
"77","BottomRight",60.4916669151896,0,"2016_0517_103802_035A_Moment1","NoTurtle","RH","Downstream",NA
"78","TopLeft",-17.7127986523591,29.7213558716832,"2016_0517_103802_035A_Moment1","NoTurtle","RH","Downstream",NA
"79","TopRight",95.4811028693572,29.7213558716832,"2016_0517_103802_035A_Moment1","NoTurtle","RH","Downstream",NA
"80","Fish",33.4933800026439,8.00447822327718,"2016_0517_103802_035A_Moment1","NoTurtle","RH","Downstream",NA
"81","BottomLeft",0,0,"2016_0517_103802_035A_Moment2","NoTurtle","LMB","Downstream",NA
"82","BottomRight",72.4213266553477,0,"2016_0517_103802_035A_Moment2","NoTurtle","LMB","Downstream",NA
"83","TopLeft",-18.1662356631575,40.9122317541868,"2016_0517_103802_035A_Moment2","NoTurtle","LMB","Downstream",NA
"84","TopRight",91.2479550066285,40.9122317541868,"2016_0517_103802_035A_Moment2","NoTurtle","LMB","Downstream",NA
"85","Fish",39.706426916332,29.5547626452548,"2016_0517_103802_035A_Moment2","NoTurtle","LMB","Downstream",NA
"86","BottomLeft",0,0,"2016_0517_103802_035A_Moment3","NoTurtle","LMB","Upstream",NA
"87","BottomRight",68.3820954929964,0,"2016_0517_103802_035A_Moment3","NoTurtle","LMB","Upstream",NA
"88","TopLeft",-13.8466492322388,33.0637021651176,"2016_0517_103802_035A_Moment3","NoTurtle","LMB","Upstream",NA
"89","TopRight",94.3757998595848,33.0637021651176,"2016_0517_103802_035A_Moment3","NoTurtle","LMB","Upstream",NA
"90","Fish",29.1417693869119,16.3706620865699,"2016_0517_103802_035A_Moment3","NoTurtle","LMB","Upstream",NA
"91","BottomLeft",0,0,"2016_0517_103802_035A_Moment4","NoTurtle","RH","Upstream",NA
